engine,link,cond,level,n_pairs,content_cer,spk_cer,asr_rtf
whisper,L1,babble_0dB,heavy,11,0.9073,,0.196
whisper,L1,babble_0dB,light,11,0.5829,,0.173
whisper,L1,babble_0dB,no,11,0.5056,,0.153
whisper,L1,babble_5dB,heavy,11,0.5782,,0.189
whisper,L1,babble_5dB,light,11,0.2810,,0.207
whisper,L1,babble_5dB,no,11,0.1925,,0.194
whisper,L1,clean,heavy,11,0.5002,,0.222
whisper,L1,clean,light,11,0.1131,,0.206
whisper,L1,clean,no,11,0.0439,,0.169
whisper,L1,white_0dB,heavy,11,0.6009,,0.192
whisper,L1,white_0dB,light,11,0.3252,,0.180
whisper,L1,white_0dB,no,11,0.2739,,0.186
whisper,L1,white_5dB,heavy,11,0.5801,,0.217
whisper,L1,white_5dB,light,11,0.3123,,0.199
whisper,L1,white_5dB,no,11,0.1734,,0.188
whisper,L2,babble_0dB,heavy,11,0.8956,,0.168
whisper,L2,babble_0dB,light,11,0.7457,,0.185
whisper,L2,babble_0dB,no,11,0.7120,,0.172
whisper,L2,babble_5dB,heavy,11,0.7628,,0.396
whisper,L2,babble_5dB,light,11,0.4502,,0.172
whisper,L2,babble_5dB,no,11,0.3534,,0.152
whisper,L2,clean,heavy,11,0.5696,,0.200
whisper,L2,clean,light,11,0.2325,,0.182
whisper,L2,clean,no,11,0.1793,,0.168
whisper,L2,white_0dB,heavy,11,0.7358,,0.481
whisper,L2,white_0dB,light,11,0.5155,,0.165
whisper,L2,white_0dB,no,11,0.4037,,0.156
whisper,L2,white_5dB,heavy,11,0.6603,,0.379
whisper,L2,white_5dB,light,11,0.3672,,0.203
whisper,L2,white_5dB,no,11,0.2888,,0.188
whisper,L3,babble_0dB,heavy,11,0.7028,0.8141,0.199
whisper,L3,babble_0dB,light,11,1.0059,1.1248,0.152
whisper,L3,babble_0dB,no,11,1.0255,1.0968,0.162
whisper,L3,babble_5dB,heavy,11,0.7379,0.8168,0.219
whisper,L3,babble_5dB,light,11,0.7771,0.9986,0.204
whisper,L3,babble_5dB,no,11,0.7147,0.8398,0.168
whisper,L3,clean,heavy,11,0.4688,0.6366,0.290
whisper,L3,clean,light,11,0.5760,0.7954,0.167
whisper,L3,clean,no,11,0.7075,1.0259,0.161
whisper,L3,white_0dB,heavy,11,0.6305,0.7752,0.186
whisper,L3,white_0dB,light,11,0.6424,0.8725,0.224
whisper,L3,white_0dB,no,11,0.4545,0.8263,0.211
whisper,L3,white_5dB,heavy,11,0.6586,0.8225,0.233
whisper,L3,white_5dB,light,11,0.5349,0.7698,0.293
whisper,L3,white_5dB,no,11,0.5877,1.0016,0.163
whisper,L4,babble_0dB,heavy,11,0.8633,0.8852,0.194
whisper,L4,babble_0dB,light,11,0.7646,0.8995,0.146
whisper,L4,babble_0dB,no,11,0.8799,0.9215,0.170
whisper,L4,babble_5dB,heavy,11,0.8574,0.8762,0.355
whisper,L4,babble_5dB,light,11,0.6595,0.8045,0.155
whisper,L4,babble_5dB,no,11,0.6620,0.8669,0.131
whisper,L4,clean,heavy,11,0.5894,0.7401,0.184
whisper,L4,clean,light,11,0.6132,0.8676,0.175
whisper,L4,clean,no,11,0.5184,0.8579,0.187
whisper,L4,white_0dB,heavy,11,0.7181,0.8449,0.211
whisper,L4,white_0dB,light,11,0.6866,0.9359,0.236
whisper,L4,white_0dB,no,11,0.4639,0.8115,0.135
whisper,L4,white_5dB,heavy,11,0.6506,0.8166,0.311
whisper,L4,white_5dB,light,11,0.5277,0.7728,0.190
whisper,L4,white_5dB,no,11,0.6562,0.8370,0.274
whisper,L5,babble_0dB,heavy,11,0.7727,0.8360,0.400
whisper,L5,babble_0dB,light,11,0.8053,0.9078,0.386
whisper,L5,babble_0dB,no,11,0.8443,0.8387,0.162
whisper,L5,babble_5dB,heavy,11,0.7240,0.8287,0.244
whisper,L5,babble_5dB,light,11,0.7366,0.9414,0.322
whisper,L5,babble_5dB,no,11,0.6814,0.8265,0.219
whisper,L5,clean,heavy,11,0.5736,0.7528,0.287
whisper,L5,clean,light,11,0.4879,0.6540,0.176
whisper,L5,clean,no,11,0.5100,0.7410,0.200
whisper,L5,white_0dB,heavy,11,0.6643,0.8590,0.230
whisper,L5,white_0dB,light,11,0.6444,0.9015,0.220
whisper,L5,white_0dB,no,11,0.5351,0.8371,0.235
whisper,L5,white_5dB,heavy,11,0.6010,0.8670,0.316
whisper,L5,white_5dB,light,11,0.5681,0.9166,0.222
whisper,L5,white_5dB,no,11,0.6459,1.0712,0.201
