tag,engine,n_files,n_scored,mean_cer,mean_rtf
babble_0dB,funasr,26,26,0.4355,0.100
babble_0dB,whisper,26,26,0.7191,0.260
babble_15dB,funasr,26,26,0.0878,0.120
babble_15dB,whisper,26,26,0.0569,0.278
babble_5dB,funasr,26,26,0.2253,0.117
babble_5dB,whisper,26,26,0.2091,0.276
clean,funasr,26,26,0.1043,0.136
clean,whisper,26,26,0.0526,0.275
sep_MidOverlap,whisper,2,0,nan,0.292
white_0dB,funasr,26,26,0.6840,0.077
white_0dB,whisper,26,26,0.4209,0.277
white_15dB,funasr,26,26,0.0995,0.145
white_15dB,whisper,26,26,0.0775,0.313
white_5dB,funasr,26,26,0.2976,0.117
white_5dB,whisper,26,26,0.1250,0.311
